Date,MONTHLY_TOTAL,MONTHLY_NORMAL_8110,MONTHLY_NORMAL_9120
3/1/2006,72.76,42.26,48.00
4/1/2006,40.32,46.92,46.30
5/1/2006,2.39,35.18,37.62
6/1/2006,47.51,12.73,11.72
7/1/2006,1.25,6.73,3.38
8/1/2006,2.74,6.55,4.42
9/1/2006,31.94,23.77,24.36
10/1/2006,132.83,68.35,68.29
11/1/2006,181.28,81.78,84.12
12/1/2006,37.05,82.31,71.65
1/1/2007,22.49,62.59,62.17
2/1/2007,66.79,53.91,47.40
3/1/2007,7.54,42.26,48.00
4/1/2007,35.99,46.92,46.30
5/1/2007,19.52,35.18,37.62
6/1/2007,27.21,12.73,11.72
7/1/2007,1.62,6.73,3.38
8/1/2007,5.09,6.55,4.42
9/1/2007,98.18,23.77,24.36
10/1/2007,10.56,68.35,68.29
11/1/2007,53.75,81.78,84.12
12/1/2007,50.93,82.31,71.65
1/1/2008,78.31,62.59,62.17
2/1/2008,94.12,53.91,47.40
3/1/2008,37.94,42.26,48.00
4/1/2008,67.99,46.92,46.30
5/1/2008,33.89,35.18,37.62
6/1/2008,1.98,12.73,11.72
7/1/2008,1.87,6.73,3.38
8/1/2008,2.37,6.55,4.42
9/1/2008,12.83,23.77,24.36
10/1/2008,54.85,68.35,68.29
11/1/2008,40.13,81.78,84.12
12/1/2008,59.38,82.31,71.65
1/1/2009,84.16,62.59,62.17
2/1/2009,46.08,53.91,47.40
3/1/2009,6.44,42.26,48.00
4/1/2009,52.41,46.92,46.30
5/1/2009,23.73,35.18,37.62
6/1/2009,34.39,12.73,11.72
7/1/2009,3.08,6.73,3.38
8/1/2009,0.53,6.55,4.42
9/1/2009,10.95,23.77,24.36
10/1/2009,68.22,68.35,68.29
11/1/2009,97.89,81.78,84.12
12/1/2009,190.47,82.31,71.65
1/1/2010,92.03,62.59,62.17
2/1/2010,161.43,53.91,47.40
3/1/2010,127.95,42.26,48.00
4/1/2010,52.06,46.92,46.30
5/1/2010,22.25,35.18,37.62
6/1/2010,21.29,12.73,11.72
7/1/2010,0.10,6.73,3.38
8/1/2010,1.15,6.55,4.42
9/1/2010,2.91,23.77,24.36
10/1/2010,129.80,68.35,68.29
11/1/2010,101.11,81.78,84.12
12/1/2010,151.45,82.31,71.65
1/1/2011,84.82,62.59,62.17
2/1/2011,57.60,53.91,47.40
3/1/2011,36.05,42.26,48.00
4/1/2011,74.45,46.92,46.30
5/1/2011,57.68,35.18,37.62
6/1/2011,0.94,12.73,11.72
7/1/2011,1.14,6.73,3.38
8/1/2011,8.59,6.55,4.42
9/1/2011,9.60,23.77,24.36
10/1/2011,56.86,68.35,68.29
11/1/2011,172.57,81.78,84.12
12/1/2011,17.80,82.31,71.65
1/1/2012,12.24,62.59,62.17
2/1/2012,1.10,53.91,47.40
3/1/2012,18.56,42.26,48.00
4/1/2012,33.58,46.92,46.30
5/1/2012,39.99,35.18,37.62
6/1/2012,2.44,12.73,11.72
7/1/2012,0.96,6.73,3.38
8/1/2012,12.94,6.55,4.42
9/1/2012,24.95,23.77,24.36
10/1/2012,109.42,68.35,68.29
11/1/2012,169.38,81.78,84.12
12/1/2012,76.48,82.31,71.65
1/1/2013,75.97,62.59,62.17
2/1/2013,39.78,53.91,47.40
3/1/2013,137.07,42.26,48.00
